1.273889	2.365793	ZAPAL
2.365793	3.730674	SWIATLO
3.730674	4.640594	W
4.640594	5.732499	KUCHNI
6.460435	7.461347	OTWORZ
7.779820	8.507756	DRZWI
9.008212	9.599660	DO
10.191109	10.964541	GARAZU
11.601485	12.374918	WLACZ
12.784382	13.967279	ZMYWARKE
14.513231	15.468647	WYLACZ
16.014599	17.061008	TELEWIZOR
18.334897	19.244817	PODNIES
19.972753	20.837178	ROLETY
21.610610	22.247554	W
22.702515	23.794419	SYPIALNI
24.704340	25.705252	ZAMKNIJ
26.569676	27.252117	BRAME
28.025549	29.071958	ZWIEKSZ
29.890886	30.982790	OGRZEWANIE
31.528743	31.983703	O
32.575151	33.348584	JEDEN
33.621560	34.531480	STOPIEN
35.486897	36.396817	ZAKREC
36.988265	37.807194	WODE
38.398642	38.899098	W
39.263066	40.218483	LAZIENCE
41.082907	41.856340	USTAW
42.356796	43.221220	ALARM
43.903660	44.950069	PRZYCISZ
45.450525	46.360446	RADIO
47.270366	48.134790	ZMIEN
48.817231	49.727151	KANAL
50.637072	51.456000	PODLEJ
52.138440	53.048361	KWIATKI
53.730801	54.731714	ZAPARZ
55.459650	56.278578	KAWE
57.597963	58.462387	WYLACZ
59.008340	59.736276	ALARM
60.236732	60.828180	W
61.510621	62.420541	GARAZU
63.330462	64.376870	ZAGOTUJ
65.013814	65.559767	WODE
