2.233379	3.135321	ZAPAL
3.564817	4.466759	SWIATLO
4.810355	5.368700	W
5.755247	6.571289	KUCHNI
7.430281	8.246324	OTWORZ
8.976467	9.749560	DRZWI
10.651501	11.209846	DO
11.682292	12.541284	GARAZU
13.357326	14.259268	WLACZ
14.903512	15.977252	ZMYWARKE
16.922143	17.909984	WYLACZ
18.854875	19.713867	TELEWIZOR
20.787607	21.775448	PODNIES
22.076095	23.020987	ROLETY
23.665231	24.223576	W
24.738971	25.726812	SYPIALNI
26.757602	27.616594	ZAMKNIJ
28.260838	29.033931	BRAME
29.978822	30.837814	ZWIEKSZ
31.439109	32.384000	OGRZEWANIE
33.028244	33.543639	O
33.930186	34.660329	JEDEN
34.660329	35.691119	STOPIEN
36.378313	37.452053	ZAKREC
38.010398	38.783491	WODE
39.255936	39.728382	W
40.114928	41.016870	LAZIENCE
41.704064	42.563056	USTAW
42.992552	43.722695	ALARM
44.710536	45.612477	PRZYCISZ
46.127873	46.815066	RADIO
47.459310	48.275353	ZMIEN
48.747798	49.477942	KANAL
50.251034	51.024127	PODLEJ
51.754271	52.656212	KWIATKI
53.257507	54.202398	ZAPARZ
54.889592	55.619735	KAWE
56.306928	57.208870	WYLACZ
57.595416	58.454408	ALARM
59.055703	59.528149	W
60.043544	60.816637	GARAZU
61.632679	62.663469	ZAGOTUJ
63.436562	64.209655	WODE
